LTE NE NAME,ETHPORT CN,ETHPORT SRN,ETHPORT SN,ETHPORT SBT,ETHPORT PN,ETHPORT PA,ETHPORT MTU,ETHPORT SPEED,ETHPORT DUPLEX,ETHPORT ARPPROXY,ETHPORT FC,ETHPORT FERAT,ETHPORT FERDT,ETHPORT RXBCPKTALMOCRTHD,ETHPORT RXBCPKTALMCLRTHD,ETHPORT USERLABEL,ETHPORT FIBERSPEEDMATCH,ETHPORT AUTOCFGFLAG
ICAIE10675,0,0,7,BASE_BOARD,1,FIBER,1500,1000M,FULL,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
ICAIE10675,0,0,7,BASE_BOARD,0,COPPER,1500,AUTO,AUTO,ENABLE,OPEN,10,8,320,288,,ENABLE,MANUAL_CREATED
LDELE14029,0,0,7,BASE_BOARD,1,FIBER,1500,1000M,FULL,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LDELE14029,0,0,7,BASE_BOARD,0,COPPER,1500,AUTO,AUTO,ENABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LDELE34173,0,0,7,BASE_BOARD,1,FIBER,1500,1000M,FULL,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LSINS16254,0,0,7,BASE_BOARD,1,FIBER,1500,1000M,FULL,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LCAIE10462,0,0,7,BASE_BOARD,1,FIBER,1500,1000M,FULL,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LCAIE10462,0,0,7,BASE_BOARD,0,COPPER,1500,AUTO,AUTO,ENABLE,OPEN,10,8,320,288,,ENABLE,MANUAL_CREATED
LDELW14498,0,0,7,BASE_BOARD,1,FIBER,1500,AUTO,AUTO,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LDELE34294,0,0,7,BASE_BOARD,1,FIBER,1500,AUTO,AUTO,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LDELE34294,0,0,7,BASE_BOARD,0,COPPER,1500,100M,FULL,ENABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LDELM24606,0,0,7,BASE_BOARD,1,FIBER,1500,AUTO,AUTO,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LDELM24669,0,0,7,BASE_BOARD,1,FIBER,1500,1000M,FULL,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LDELE34307,0,0,7,BASE_BOARD,1,FIBER,1500,1000M,FULL,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LCAIW10607,0,0,7,BASE_BOARD,1,FIBER,1500,1000M,FULL,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LCAIW22300,0,0,7,BASE_BOARD,1,FIBER,1500,AUTO,AUTO,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LDELW34233,0,0,7,BASE_BOARD,1,FIBER,1500,AUTO,AUTO,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LCAIN20412,0,0,7,BASE_BOARD,1,FIBER,1500,AUTO,AUTO,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LSINS16239,0,0,7,BASE_BOARD,1,FIBER,1500,1000M,FULL,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LSINS16239,0,0,7,BASE_BOARD,0,COPPER,1500,AUTO,AUTO,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LSINS37574,0,0,7,BASE_BOARD,1,FIBER,1500,1000M,FULL,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LDELE34302,0,0,7,BASE_BOARD,1,FIBER,1500,1000M,FULL,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LSINI47147,0,0,7,BASE_BOARD,1,FIBER,1500,1000M,FULL,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LCAIN10453,0,0,7,BASE_BOARD,1,FIBER,1500,AUTO,AUTO,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LDELE34767,0,0,7,BASE_BOARD,0,COPPER,1500,AUTO,AUTO,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LDELE34767,0,0,7,BASE_BOARD,1,FIBER,1500,1000M,FULL,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
